Employers who were issued a positive Labour Market Impact Assessment (LMIA) by National Occupational Classification (NOC) 2011 and business location in 2016,,,, 
Province/Territory,Employer,Address,Occupations under NOC 2011,Positions Approved 
,1832776 Alberta Ltd o/a Fruitas,"Brooks, AB T1R 1C7",0631-Restaurant and food service managers,1
,1832821 Alberta Ltd,"Leduc, AB T9E 6Z6",0631-Restaurant and food service managers,1
,1833879 Alberta Ltd,"Calgary, AB T2Y 0J4",6341-Hairstylists and barbers,1
,1835737 Alberta Inc,"Spruce Grove, AB T7X 4B8",6311-Food service supervisors,2
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",1
,1835763 Alberta Ltd.,"Edmonton, AB T5T 6N6",6322-Cooks,1
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",1
,1836191 Alberta Ltd,"Edmonton, AB T6E 5X8",6322-Cooks,2
,1836701 Alberta Ltd,"Red Deer, AB T4R 2T4",6311-Food service supervisors,1
,1836805 Alberta Ltd,"St. Albert, AB T8N 5C9",6311-Food service supervisors,2
,1838423 Alberta Ltd,"Sherwood Park, AB T8A 4W2",6322-Cooks,2
,1840871 Alberta Ltd.,"Calgary, AB T2P 4H2",6311-Food service supervisors,1
,,,6322-Cooks,1
,1842387 Alberta Ltd.,"Cardston, AB T0K 0K0",6311-Food service supervisors,3
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",1
,1843815 Alberta Ltd.,"Airdrie, AB T4B 0J6",6315-Cleaning supervisors,1
,1845027 Alberta Ltd,"Edmonton, AB T5Y 0S4",6311-Food service supervisors,1
,1845154 Alberta Ltd.,"Calgary, AB T2T 5R9",6322-Cooks,2
,1845979 Alberta Ltd,"Okotoks, AB T1S 0B8",6322-Cooks,1
,1847524 Alberta Ltd,"Edmonton, AB T6J 4R6",6311-Food service supervisors,1
,1847845 Alberta Ltd.,"Rocky Mountain House, AB T4T 1P2",6311-Food service supervisors,1
,,,6315-Cleaning supervisors,1
,1848717 Alberta Ltd,"Edmonton, AB T6H 5X6",6311-Food service supervisors,1
,,,6322-Cooks,1
,1849149 Alberta Ltd,"Calgary, AB T3J 0C9",6311-Food service supervisors,1
,,,6322-Cooks,1
,1850398 Alberta Ltd.,"Edmonton, AB T5L 4K8",7322-Motor vehicle body repairers,1
,1851100 Alberta Ltd.,"Ardrossan, AB T8E 2M4",6211-Retail sales supervisors,1
,1851501 Alberta Ltd.,"Edson, AB T7E 1T6",0631-Restaurant and food service managers,1
,1853012 Alberta Ltd.,"Edmonton, AB T5T 1L6",6211-Retail sales supervisors,1
,1853102 Alberta Ltd.,"Leduc, AB T9E 6T2",6322-Cooks,3
,1855180 Alberta Ltd,"Stony Plain, AB T7Z 1T6",6311-Food service supervisors,1
,1855746 Alberta Inc.,"Calgary, AB T3K 0P5",6315-Cleaning supervisors,1
,1856209 Alberta Ltd.,"Banff, AB T1L 1G2",3236-Massage therapists,1
,1857523 Alberta Ltd,"Edson, AB T7E 1T9","6313-Accommodation, travel, tourism and related services supervisors",1
,1858749 Alberta Ltd.,"Fort Saskatchewan, AB T8L 2C8",6311-Food service supervisors,2
,,,6322-Cooks,1
,1858955 Alberta Ltd,"Edmonton, AB T5T 1L6",6311-Food service supervisors,2
,1859688 Alberta Ltd,"Calgary, AB T2J 7A4",6322-Cooks,2
,1859742 Alberta Ltd. o/a Taco Time,"Edmonton, AB T6V 1J6",6311-Food service supervisors,2
,1860068 Alberta Ltd,"Chestermere, AB T1X 1A1",6322-Cooks,1
,1860078 Alberta Ltd.,"Olds, AB T4H 1B8",6311-Food service supervisors,2
,1860236 Alberta Ltd,"Fort McMurray, AB T9H 3K8",6311-Food service supervisors,1
,,,6322-Cooks,2
,1860543 Alberta Ltd,"Red Deer, AB T4P 2A5",6311-Food service supervisors,1
,1861432 Alberta Ltd. O/A Taco Del Mar - Vermilion,"Vermilion, AB T9X 0B4",6311-Food service supervisors,1
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",1
,1863170 Alberta Ltd,"Eckville, AB T0M 0X0",6211-Retail sales supervisors,2
,,,6311-Food service supervisors,2
,1863543 Alberta Ltd o/a California Closets,"Edmonton, AB T6E 6S3",7272-Cabinetmakers,1
,1864377 Alberta Ltd,"Calgary, AB T2W 4J3","5254-Program leaders and instructors in recreation, sport and fitness",1
,1865235 Alberta Ltd.,"Calgary, AB T2H 1G3",6732-Specialized cleaners,2
,1865443 Alberta Ltd,"Killam, AB T0B 2L0",6211-Retail sales supervisors,1
,1866467 Alberta Ltd.,"Spruce Grove, AB T7X 3X2",6322-Cooks,2
,1867408,"Calgary, AB T3G 3T2",6311-Food service supervisors,2
,1868443 Alberta Ltd,"Red Deer, AB T4N 4C9",6311-Food service supervisors,4
,1870406 Alberta Ltd.,"Calgary, AB T2P 2G5",0631-Restaurant and food service managers,1
,1870820 Alberta Ltd.,"Fox Creek, AB T0H 1P0",6211-Retail sales supervisors,1
,1871057 Alberta Inc.,"Airdrie, AB T4B 1S2",6322-Cooks,3
,1871296 Alberta Inc.,"Spruce Grove, AB T7X 0T3",6322-Cooks,1
,1871869 Alberta Ltd,"Edmonton, AB T5J 0N8",6322-Cooks,1
,1873176 Alberta Ltd,"Devon, AB T9G 1K7",6315-Cleaning supervisors,1
,1875214 Alberta Ltd,"EDMONTON, AB T5K 1M9",6311-Food service supervisors,1
,1875314 Alberta Ltd,"Grassland, AB T0A 1V0",6211-Retail sales supervisors,2
,1875807 Alberta Ltd,"Edmonton, AB T6E 4R5",6322-Cooks,3
,1876156 Alberta Ltd,"Airdrie, AB T4A 0H5",6311-Food service supervisors,1
,1877413 Alberta Ltd.,"Onoway, AB T0E 1V0",6211-Retail sales supervisors,1
,1878968 Alberta Ltd,"Edmonton, AB T5P 3Z1",6311-Food service supervisors,1
,1880542 Alberta Ltd.,"Calgary, AB T2P 0Z1",6322-Cooks,1
,1881303 Alberta Ltd.,"St. Albert, AB T8N 1E8",6322-Cooks,1
,1882777 Alberta Ltd.,"Calgary, AB T2Z 3J3",6311-Food service supervisors,1
,1883656 Alberta Ltd. dba Springs Motor Inn,"Wainwright, AB T9W 1L2",6322-Cooks,1
,1884049 Alberta Ltd,"Calgary, AB T2G 5J5",6322-Cooks,1
,1884947 Alberta Ltd,"Edmonton, AB T5B 2W4",6311-Food service supervisors,2
,1886142 Alberta Ltd,"Calgary, AB T2L 1K8",6311-Food service supervisors,1
,1886812 Alberta Ltd,"Edmonton, AB T6W 2Z8",3112-General practitioners and family physicians,2
,1887000 Alberta Ltd.,"Rocky Mountain House, AB T4T 1A7",6315-Cleaning supervisors,1
,1888378 Alberta Ltd.,"Edmonton, AB T6T 0H9",6341-Hairstylists and barbers,3
,1889521 Alberta Ltd,"Lloydminster, AB T9V 2X1",0631-Restaurant and food service managers,1
,1889773 Alberta Ltd.,"Calgary, AB T2H 0L9",0631-Restaurant and food service managers,1
,,,6322-Cooks,2
,,,"6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,1890326 Alberta Ltd,"Calgary, AB T2H 0L9","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,1891442 Alberta Ltd.,"Westlock, AB T7P 2R8",6311-Food service supervisors,4
,,,6332-Bakers,1
,1891841 Alberta Ltd.,"Edmonton, AB T5P 4Y2",0714-Facility operation and maintenance managers,1
,,,6421-Retail salespersons,1
,1892961 Alberta Ltd,"Blackfalds, AB T0M 0J0",6322-Cooks,1
,1894602 Alberta Ltd o/a 2A CarWash,"Olds, AB T4H 1E2",6732-Specialized cleaners,1
,1895469 Alberta Ltd.,"St. Albert, AB T8N 7J7",6311-Food service supervisors,2
,1895538 Alberta Ltd.,"Calgary, AB T3H 0L3",6311-Food service supervisors,1
,1895939 Alberta Ltd.,"Calgary, AB T2G 4X6",6322-Cooks,1
,1898934 Alberta Ltd.,"Edmonton, AB T6X 1P1",6322-Cooks,1
,1899003 Alberta Ltd,"Sherwood Park, AB T8A 0C9",6311-Food service supervisors,1
,1899562 Alberta Ltd.,"Calgary, AB T2W 0K1",6311-Food service supervisors,1
,1899655 Alberta Ltd.,"Edmonton, AB T5J 0Y8",6311-Food service supervisors,1
,1900034 Alberta Ltd.,"Sylvan Lake, AB T4S 1A1",6311-Food service supervisors,1
,1900249 Alberta Ltd.,"Fox Creek, AB T0H 1P0",6311-Food service supervisors,2
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",2
,1902335 Alberta Ltd.,"Edmonton, AB T6C 0X9",6311-Food service supervisors,2
,1903557 Alberta Ltd.,"Pincher Creek, AB T0K 1W0",6311-Food service supervisors,2
,1904450 Alberta Ltd,"Beaumont, AB T4X 1E6",6311-Food service supervisors,2
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",1
,1904969 Alberta Ltd.,"Red Deer, AB T4N 1V1",6311-Food service supervisors,1
,1907775 AB Ltd.,"Banff, AB T1L 1B1",6211-Retail sales supervisors,1
,1908100 Alberta Ltd.,"Canmore, AB T1W 1L7","6313-Accommodation, travel, tourism and related services supervisors",1
,1908327 Alberta Ltd,"Grassland, AB T0A 1V0",6322-Cooks,2
,1909803 Alberta Ltd,"Chestermere, AB T1X 1R4",6311-Food service supervisors,1
,1910244 AB Ltd.,"LETHBRIDGE, AB T1J 2B2",6322-Cooks,1
,1911165 Alberta Inc.,"Grande Prairie, AB T8W 0G2",6315-Cleaning supervisors,1
,,,6322-Cooks,1
,1911364 Alberta Ltd.,"Rocky View, AB T4A 0G3",6322-Cooks,3
,1912558 Alberta Ltd,"Westlock, AB T7P 2M5",6611-Cashiers,1
,1912758 Alberta Ltd,"Fort McMurray, AB T9H 2B4",0631-Restaurant and food service managers,1
,1912938 Alberta Ltd,"Calgary, AB T3J 3K9",6311-Food service supervisors,1
,1913808 Alberta Ltd,"Edmonton, AB T5A 5A1",6311-Food service supervisors,1
,,,6322-Cooks,1
,1914090 Alberta Ltd.,"Beaumont, AB T4X 0G2",6311-Food service supervisors,1
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",2
,1916547 Alberta Ltd,"Sherwood Park, AB T8A 4N5",6311-Food service supervisors,1
,1917790 Alberta Ltd,"Camrose, AB T4V 0J4",6211-Retail sales supervisors,1
,1918423 Alberta Ltd. o/a Pembina Esso,"Entwistle, AB T0E 0S0",6211-Retail sales supervisors,1
,1919534 Alberta Ltd,"Longview, AB T0L 1H0",6211-Retail sales supervisors,1
,1920431 Alberta Ltd.,"Drumheller, AB T0J 0Y0",6311-Food service supervisors,1
,,,6322-Cooks,3
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",1
,1921301 Alberta Ltd,"Edmonton, AB T6V 1L1",6311-Food service supervisors,1
,1925250 Alberta Ltd.,"Athabasca, AB T9S 0B1",6211-Retail sales supervisors,1
,1927127 Alberta Ltd.,"Armena, AB T0B 0G0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,8431-General farm workers,2
,1929550 Alberta Ltd,"Ponoka, AB T4J 1S1",6322-Cooks,1
,1929910 Alberta Ltd.,"Calgary, AB T2P 5G3",0621-Retail and wholesale trade managers,1
,1930427 Alberta Ltd.,"Bonnyville, AB T9N 1A4",6211-Retail sales supervisors,1
,1932772 Alberta LTD,"Hinton, AB T7V 2A1",6211-Retail sales supervisors,1
,1941801 Alberta Ltd,"Rocky Mountain House, AB T4T 1B3",6315-Cleaning supervisors,1
,1942093 Alberta Ltd,"Edmonton, AB T5T 2S5",7332-Appliance servicers and repairers,1
,1942316 Alberta Ltd.,"Warburg, AB T0C 2T0",6211-Retail sales supervisors,1
,1949188 Alberta Ltd.,"Calgary, AB T3A 0E2",7246-Telecommunications installation and repair workers,1
,1949799 Alberta Ltd.,"High Prairie, AB T0G 1E0",6611-Cashiers,1
,1959438 Alberta Ltd.,"Beaumont, AB T4X 1T8",6311-Food service supervisors,1
,1968095 Alverta Ltd,"Edmonton, AB T5G 0N6",3112-General practitioners and family physicians,1
,1968166 Alberta Inc.,"Calgary, AB T2T 0A7",6311-Food service supervisors,2
,1973550 Alberta Ltd. DBA Doug's AG Foods,"Oyen, AB T0J 2J0",6332-Bakers,1
,1973958 Alberta Inc.,"Cochrane, AB T4C 1A6",6311-Food service supervisors,1
,1976215 Alberta Ltd,"Calgary, AB T3C 0J2",6322-Cooks,1
,1985187 Alberta Limited,"Consort, AB T0C 1B0",6211-Retail sales supervisors,1
,,,6611-Cashiers,1
,1989414 Alberta Ltd.,"Calgary, AB T3A 4W3",5135-Actors and comedians,1
,202 Canada Ltd.,"Calgary, AB T2P 1M7",6311-Food service supervisors,1
,21 Century Seafood Inc,"Calgary, AB T2G 1Z6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,255034 Alberta Ltd,"Edmonton, AB T6K 3L6",4214-Early childhood educators and assistants,1
,256961 Alberta Ltd,"Vauxhall, AB T0K 2K0",8431-General farm workers,17
,264256 Alberta Ltd,"Calgary, AB T2E 6Z7",6315-Cleaning supervisors,1
,266686 Alberta Ltd,"Gleichen, AB T0J 1N0",6211-Retail sales supervisors,1
,280299 Alberta Ltd,"Edmonton, AB T6E 4B4",6322-Cooks,1
,281122 Alberta Ltd,"Edmonton, AB T6L 3Z7",0631-Restaurant and food service managers,1
,,,6322-Cooks,1
,282525 Alberta Ltd,"Edmonton, AB T5Y 0S4",6211-Retail sales supervisors,1
,290520 Alberta Ltd,"Calgary, AB T2E 6K9",7272-Cabinetmakers,1
,293967 Alberta Ltd.,"St. Albert, AB T8N 5J9",6311-Food service supervisors,28
,298007 Alberta Ltd,"Black Diamond, AB T0L 0H0",6322-Cooks,2
,300826 Alberta Ltd o/a Boston Pizza,"Calgary, AB T2W 3M5",0631-Restaurant and food service managers,1
,,,6322-Cooks,1
,301726 Alberta Ltd.,"Fort Saskatchewan, AB T8L 4P4",6322-Cooks,1
,319406 Alberta Ltd,"St. Albert, AB T8N 3T6",0621-Retail and wholesale trade managers,1
,,,6211-Retail sales supervisors,1
,322304 Alberta Ltd,"Whitecourt, AB T7S 1P3",6322-Cooks,1
,330493 Alberta Ltd,"Edson, AB T7E 1C3",6311-Food service supervisors,2
,332860 Alberta Ltd.,"Nisku, AB T9E 7W7","9536-Industrial painters, coaters and metal finishing process operators",1
,344312 Alberta Ltd,"Vulcan, AB T0L 2B0","6313-Accommodation, travel, tourism and related services supervisors",1
,369232 Alberta Ltd.,"Rimbey, AB T0C 2J0",6311-Food service supervisors,1
,,,6322-Cooks,1
,373013 Alberta Ltd,"Calgary, AB T2C 2N5",6311-Food service supervisors,1
,,,6322-Cooks,3
,379141 Alberta Ltd,"Edmonton, AB T6L 6M5",1311-Accounting technicians and bookkeepers,1
,385010 Alberta Ltd.,"Jasper, AB T0E 1E0",6311-Food service supervisors,1
,,,6322-Cooks,3
,394989 Alberta Ltd,"Calgary, AB T3H 3C8",6311-Food service supervisors,1
,396725 Alberta Ltd,"Edmonton, AB T5J 0P6",6315-Cleaning supervisors,1
,399053 Alberta Ltd,"Grande Prairie, AB T8V 4H5",6525-Hotel front desk clerks,1
,3BT's Investments Ltd.,"High Level, AB T0H 1Z0",0631-Restaurant and food service managers,1
,,,6311-Food service supervisors,7
,3J's Cleaning Company Inc.,"Calgary, AB T2E 1Y8",6315-Cleaning supervisors,1
,4 Brothers Trucking Services Ltd,"Edmonton, AB T6M 0C1",7511-Transport truck drivers,1
,4 Wheel Collision & Frame Ltd.,"Edmonton, AB T6B 2H8",7322-Motor vehicle body repairers,2
,4 Year Enterprises Inc,"Edmonton, AB T6J 5H2",0631-Restaurant and food service managers,1
,,,6311-Food service supervisors,2
,406362 Alberta Ltd/Westway Propane/Automotive,"Edmonton, AB T6B 0A6",6211-Retail sales supervisors,1
,,,6621-Service station attendants,2
,413877 Alberta Ltd.,"Grassland, AB T0A 1V0",6211-Retail sales supervisors,2
,,,6311-Food service supervisors,1
,415031 Alberta Ltd,"Calgary, AB T2C 2N5",6322-Cooks,2
,417048 Alberta Ltd,"Calgary, AB T2J 4C4",6311-Food service supervisors,2
,421937 Alberta Ltd,"Edmonton, AB T6M 2S2",6315-Cleaning supervisors,1
,422460 Alberta Ltd,"Calgary, AB T2H 0H9",6311-Food service supervisors,1
,424932 Alberta Ltd,"Calgary, AB T3A 0Z9",6322-Cooks,2
,4515145 Canada Inc,"Rocky View, AB T4A 0G3",6311-Food service supervisors,1
,4575 Nunavut Ltd.,"Leduc, AB T9E 8K7",6421-Retail salespersons,2
,465332 Alberta Ltd,"Jasper, AB T0E 1E0",6311-Food service supervisors,1
,,,6322-Cooks,2
,484906 Alberta Ltd o/a Lacombe Motor Inn,"Lacombe, AB T4L 1Y8",6525-Hotel front desk clerks,1
,490588 Alberta Inc,"Calgary, AB T2J 0P6",6311-Food service supervisors,2
,491752 Alberta Ltd,"Edmonton, AB T6E 6P4",6311-Food service supervisors,3
,,,6322-Cooks,2
,,,6332-Bakers,1
,496303 Alberta Ltd,"Onoway, AB T0E 1V0",6311-Food service supervisors,1
,496325 Alberta Ltd.,"Morinville, AB T8R 1S2",6211-Retail sales supervisors,1
,4SSC Alberta Ltd.,"Calgary, AB T2M 0M3",6311-Food service supervisors,1
,5 Star Plumbing and Heating Ltd.,"Calgary, AB T3J 0A1",0714-Facility operation and maintenance managers,1
,5 Star Trees Ltd,"High River, AB T1V 1N3",8432-Nursery and greenhouse workers,11
,500016 Alberta Ltd o/a Both Chicken Farms,"Ponoka, AB T4J 1R4",0821-Managers in agriculture,1
,,,8431-General farm workers,3
,500139 Alberta Ltd.,"St. Albert, AB T8N 5N6",6311-Food service supervisors,1
,503138 Alberta Ltd,"Calgary, AB T2S 0A1",0631-Restaurant and food service managers,1
,508343 Alberta Inc,"Valleyview, AB T0H 3N0",6322-Cooks,2
,508713 Alberta Ltd,"Whitecourt, AB T7S 1N8",6315-Cleaning supervisors,2
,510515 Alberta Ltd,"Bruderheim, AB T0B 0S0",0631-Restaurant and food service managers,1
,,,6513-Food and beverage servers,2
,514062 Alberta Ltd.,"Calgary, AB T2B 3C5",6211-Retail sales supervisors,1
,526753 Alberta Ltd,"Calgary, AB T2J 5N8",0631-Restaurant and food service managers,1
,,,6322-Cooks,2
,543033 Alberta Ltd,"Cardston, AB T0K 0K0",0631-Restaurant and food service managers,1
,548137 Alberta Ltd.,"Fort McMurray, AB T9H 5E6",6311-Food service supervisors,4
,556320 Alberta Ltd,"Fort McMurray, AB T9H 4K6",0631-Restaurant and food service managers,1
,5628874 Manitoba Ltd.,"Edmonton, AB T5A 4N2",6311-Food service supervisors,1
,5628891 Manitoba Ltd.,"Edmonton, AB T6J 5M5",6311-Food service supervisors,3
,572974 Alberta Ltd,"Calgary, AB T2P 1B5",6322-Cooks,1
,576477 Alberta Ltd. o/a Beddington Heights Bottle Depot,"Calgary, AB T3K 5P4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,576802 Alberta Ltd.,"Calgary, AB T2B 2M6",7251-Plumbers,1
,5782687 Manitoba Ltd,"Edmonton, AB T6K 3J4",6311-Food service supervisors,3
,5782695 Manitoba Ltd,"Edmonton, AB T5X 4H7",6311-Food service supervisors,2
,5782709 Manitoba Ltd.,"Edmonton, AB T6K 0B9",6311-Food service supervisors,1
,580511 Alberta Ltd.,"Edmonton, AB T5H 2E2",6322-Cooks,1
,581257 Alberta Ltd,"Edmonton, AB T5H 3W7",6211-Retail sales supervisors,2
,584035 AB Ltd. o/a CB Drive Inn,"Calgary, AB T2L 0A1",0631-Restaurant and food service managers,1
,585112 Alberta Ltd.,"Wostok, AB T0B 4S0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,5904660 Alberta Ltd,"Calgary, AB T3J 4Z2","7284-Plasterers, drywall installers and finishers and lathers",7
,592365 Alberta Ltd,"Lethbridge, AB T1J 1Z9",6322-Cooks,2
,592467 Alberta Ltd.o/a Escada Hair International,"Edmonton, AB T6K 4B4",6341-Hairstylists and barbers,1
,6024700 Manitoba Ltd.,"Edmonton, AB T5T 1N1",6311-Food service supervisors,2
,603709 Alberta Ltd o/a Humpty's Family Restaurant,"Crossfield, AB T0M 0S0",6322-Cooks,1
,607433 Alberta Ltd,"Edmonton, AB T6T 1W6",1221-Administrative officers,1
,608220 Alberta Ltd,"Sherwood Park, AB T8H 1X1",6311-Food service supervisors,1
,608954 Alberta Ltd.,"Edmonton, AB T6R 3A6",1311-Accounting technicians and bookkeepers,1
,,,6211-Retail sales supervisors,1
,6101275 Manitoba Ltd.,"Edmonton, AB T6A 0H9",6311-Food service supervisors,2
,612645 Alberta Ltd,"Edmonton, AB T5T 6J6",8612-Landscaping and grounds maintenance labourers,2
,617284 Alberta Ltd o/a Abbott Texturing Ltd,"Okotoks, AB T1S 1K7","7284-Plasterers, drywall installers and finishers and lathers",1
,623595 Alberta Ltd,"Calgary, AB T3E 0B6",6311-Food service supervisors,1
,,,6322-Cooks,1
,625564 Alberta Ltd.,"Edmonton, AB T5X 5B5","6562-Estheticians, electrologists and related occupations",1
,625569 Alberta Ltd o/a Tim Hortons,"Lethbridge, AB T1K 1N5",6311-Food service supervisors,1
,626201 AB Ltd,"Calgary, AB T2W 1G8",6311-Food service supervisors,2
,627656 Alberta Ltd.,"Calgary, AB T2R 0L5",6311-Food service supervisors,1
,630259 Alta Ltd o/a Mac's Convenience Stores,"Edmonton, AB T5Z 3T4",6311-Food service supervisors,1
,6342915 Manitoba Ltd.,"Edmonton, AB T6T 0C6",6322-Cooks,1
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",2
,640738 Alberta Ltd,"Blackfalds, AB T0M 0J0",6311-Food service supervisors,1
,641135 Alberta Ltd,"Edmonton, AB T5S 2X4",6311-Food service supervisors,1
,642762 Alberta Ltd,"Calgary, AB T2H 0N4",6316-Other services supervisors,1
,645373 Alberta Ltd,"Olds, AB T4H 1L7",6211-Retail sales supervisors,2
,648520 Alberta Inc.,"Calgary, AB T3J 0P6",6211-Retail sales supervisors,1
,649541 Alberta Inc,"Edmonton, AB T5A 5B5",6311-Food service supervisors,4
,,,6322-Cooks,2
,650273 Alberta Ltd,"Calgary, AB T2M 4S2",6211-Retail sales supervisors,2
,650785 Alberta Ltd,"Wetaskiwin, AB T9A 1V4",6311-Food service supervisors,1
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",2
,652391 Alberta Ltd.,"Stony Plain, AB T7Z 2L6",6322-Cooks,1
,654254 Alberta Ltd,"Bentley, AB T0C 0J0",6311-Food service supervisors,1
,656373 Alberta Ltd,"Calgary, AB T2C 4E4",6322-Cooks,1
,659636 Alberta Ltd,"Grimshaw, AB T0H 1W0",6322-Cooks,1
,6646107 Canada Inc,"Banff, AB T1L 1A3",6311-Food service supervisors,5
,667508 Alberta Ltd.,"Pincher Creek, AB T0K 1W0",6731-Light duty cleaners,1
,668977 Alberta Inc,"Calgary, AB T2Y 3H9",6322-Cooks,3
,6704719 Canada Inc,"Okotoks, AB T1S 2J4",6311-Food service supervisors,17
,672497 Alberta Ltd o/a Thorsby Family Restaurant,"Thorsby, AB T0C 2P0",6322-Cooks,1
,6748333 Canada Inc,"Bon Accord, AB T0A 0K0","6711-Food counter attendants, kitchen helpers and related support occupations",1
,675691 Alberta Ltd Petro Canada,"Calgary, AB T3G 4C8",6211-Retail sales supervisors,4
,6758461 Canada Inc.,"Calgary, AB T1Y 2Y7","7305-Supervisors, motor transport and other ground transit operators",1
,,,7511-Transport truck drivers,3
,676090 Alberta Ltd,"Wetaskiwin, AB T9A 2E8",6311-Food service supervisors,6
,,,6332-Bakers,2
,677659 Alberta Ltd.,"High River, AB T1V 1M6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,8431-General farm workers,17
,678031 Alberta Ltd,"Edmonton, AB T5L 1B8",6311-Food service supervisors,1
,679814 Alberta Limited,"Spruce Grove, AB T7X 3X3",6322-Cooks,1
,681340 Alberta Inc.,"Edmonton, AB T6B 0A6",6211-Retail sales supervisors,1
,,,6611-Cashiers,2
,681454 Alberta Ltd.,"Wabasca, AB T0G 2K0",0631-Restaurant and food service managers,1
,681909 Alberta Ltd,"Lloydminster, AB T9V 0A7",6341-Hairstylists and barbers,2
,682175 Alberta Ltd,"Fox Creek, AB T0H 1P0",6731-Light duty cleaners,1
,688767 Alberta Ltd,"Edmonton, AB T5L 4X5",6311-Food service supervisors,3
,,,6332-Bakers,2
,689687 Alberta Ltd.,"Provost, AB T0B 3S0",6211-Retail sales supervisors,1
,690465 Alberta Ltd,"Sherwood Park, AB T8B 1C9",7511-Transport truck drivers,3
,694219 Alberta Ltd.,"Sherwood Park, AB T8B 1C9",1221-Administrative officers,1
,697625 Alberta Ltd,"De Winton, AB T0L 0X0",8432-Nursery and greenhouse workers,15
,698976 Alberta Ltd / Mac's Convenience Store,"Calgary, AB T3K 2X4",6211-Retail sales supervisors,2
,701059 Alberta Ltd,"Calgary, AB T3B 3R6",6311-Food service supervisors,3
,705361 Alberta Ltd o/a Mac's Convenience Store,"Calgary, AB T1Y 2Y6",6211-Retail sales supervisors,1
,705370 Alberta Ltd,"Keoma, AB T0M 1G0",8431-General farm workers,12
,706386 Alberta Ltd,"Edmonton, AB T5C 3C8",6311-Food service supervisors,2
,,,"6711-Food counter attendants, kitchen helpers and related support occupations",2
,7084919 Canada Inc.,"Calgary, AB T3H 4R5",0631-Restaurant and food service managers,1
,708971 Alberta Ltd.,"Calgary, AB T2A 0P6",7246-Telecommunications installation and repair workers,1
,711136 Alberta Ltd,"Edmonton, AB T5V 1P1",6315-Cleaning supervisors,1
,7129742 Canada Inc,"Grande Prairie, AB T8V 6V3",0621-Retail and wholesale trade managers,1
,,,6211-Retail sales supervisors,1
,,,6611-Cashiers,3
,7155735 Canada Inc o/a Koryo Korean BBQ,"Red Deer, AB T4R 1N9",6322-Cooks,1
,716629 Alberta Ltd,"Calgary, AB T2E 2P8",6322-Cooks,1
,717642 Aberta Ltd.,"Peace River, AB T8S 1T2","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,719344 Alberta Ltd.,"Calgary, AB T2A 7X7",6211-Retail sales supervisors,1
,7220961 Canada Inc.,"Edmonton, AB T6X 1Y1",1311-Accounting technicians and bookkeepers,1
,722409 Alberta Ltd.,"Niton Junction, AB T0E 1S0",6211-Retail sales supervisors,1
,723777 Alberta Ltd,"Calgary, AB T2K 6A6",6311-Food service supervisors,1
,7266511 Canada Corporation,"Calgary, AB T2Y 3S8",7271-Carpenters,1
,,,7282-Concrete finishers,1
,730339 Alberta Ltd,"Innisfail, AB T4G 1Y6",6211-Retail sales supervisors,1
,732528 Alberta Ltd,"Calgary, AB T2L 1K8",0621-Retail and wholesale trade managers,1
,733287 Alberta Ltd. o/a Tops Liquor,"Sherwood Park, AB T8B 1C9",6211-Retail sales supervisors,1
,734552 Alberta Ltd,"Calgary, AB T2E 6M3",6315-Cleaning supervisors,3
,738786 Alberta Ltd,"Edmonton, AB T5M 2R1",6312-Executive housekeepers,1
,741235 Alberta Ltd o/a Pirani Group,"Edmonton, AB T5S 2X4",1221-Administrative officers,1
,741481 Alberta Ltd,"Edmonton, AB T6E 5P2",6341-Hairstylists and barbers,1
,743366 Alberta Ltd.,"Brooks, AB T1R 0W3",6311-Food service supervisors,1
,744498 Alberta Ltd,"Edmonton, AB T5X 6A5",6311-Food service supervisors,2
,748026 Alberta Ltd,"Mayerthorpe, AB T0E 1N0",6513-Food and beverage servers,1
,750748 Alberta Ltd o/a City Center Liquor Store,"Leduc, AB T9E 6T4",6211-Retail sales supervisors,1
,755546 Alberta Ltd,"Edmonton, AB T5T 4K3",6211-Retail sales supervisors,1
,758604 Alberta Ltd,"Edmonton, AB T6N 1B5",0631-Restaurant and food service managers,1
,,,1311-Accounting technicians and bookkeepers,1
,,,6311-Food service supervisors,2
,,,6322-Cooks,3
