,Province/Territories,Unnamed: 1,Positive,Negative,Positive.1,Negative.1,Positive.2,Negative.2,Positive.3,Negative.3,Positive.4,Negative.4,Positive.5,Negative.5,Positive.6,Negative.6,Positive.7,Negative.7
69,Alberta,4840-Banff--Jasper--Rocky Mountain House,13,0,34,0,56,0.0,38,0.0,31,0.0,29,0.0,34,0.0,34,0.0
70,Alberta,4850-Red Deer,105,0,155,2,211,6.0,146,0.0,154,0.0,162,0.0,181,0.0,378,0.0
71,Alberta,4860-Edmonton,174,28,165,14,201,7.0,139,0.0,169,4.0,119,0.0,132,0.0,147,0.0
72,Alberta,4870-Athabasca--Grande Prairie--Peace River,105,15,109,22,182,6.0,121,0.0,108,0.0,126,0.0,126,0.0,215,0.0
73,Alberta,4880-Wood Buffalo--Cold Lake,83,0,89,1,95,8.0,93,1.0,126,0.0,88,4.0,86,0.0,178,0.0
74,Alberta,4899-Unspecified,20,0,0,0,14,5.0,5,0.0,12,0.0,14,0.0,0,0.0,39,0.0
75,Alberta,Total,"1,331",101,"1,376",108,"1,754",60.0,"1,398",6.0,"1,393",4.0,"1,420",31.0,"1,531",0.0,"2,242",0.0
76,British Columbia,5910-Vancouver Island and Coast,144,28,143,12,260,0.0,198,3.0,217,1.0,197,0.0,162,0.0,245,0.0
77,British Columbia,5920-Lower Mainland--Southwest,"3,677",345,"3,275",242,"5,135",210.0,"3,163",70.0,"4,386",12.0,"3,464",6.0,"3,701",4.0,"5,383",0.0
78,British Columbia,5930-Thompson--Okanagan,"3,594",458,"3,583",365,"5,741",107.0,"4,628",85.0,"4,801",18.0,"4,747",13.0,"4,559",7.0,"6,662",6.0
79,British Columbia,5940-Kootenay,120,14,102,7,248,0.0,116,0.0,266,3.0,120,2.0,181,0.0,279,0.0
80,British Columbia,5950-Cariboo,12,0,42,0,52,0.0,79,0.0,11,0.0,15,0.0,20,0.0,31,0.0
81,British Columbia,5970-Nechako,0,0,0,0,0,0.0,28,0.0,0,0.0,5,0.0,14,0.0,11,0.0
82,British Columbia,5980-Northeast,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.0,0,0.0
83,British Columbia,5999-Unspecified,3,2,14,3,24,0.0,2,0.0,2,0.0,0,0.0,68,0.0,2,0.0
84,British Columbia,Total,"7,550",847,"7,159",629,"11,460",317.0,"8,214",158.0,"9,683",34.0,"8,548",21.0,"8,711",11.0,"12,613",6.0
85,Canada,Total,"40,238","1,530","44,742","1,044","50,544",478.0,"46,750",223.0,"44,460",98.0,"45,069",66.0,"48,909",16.0,"55,552",10.0
86,Notes:,Total,"40,238","1,530","44,742","1,044","50,544",478.0,"46,750",223.0,"44,460",98.0,"45,069",66.0,"48,909",16.0,"55,552",10.0
87,1. The source for all information in this report is Employment and Social Development Canada's (ESDC) LMIA System.,Total,"40,238","1,530","44,742","1,044","50,544",478.0,"46,750",223.0,"44,460",98.0,"45,069",66.0,"48,909",16.0,"55,552",10.0
88," 2. As of the publication of 2023 annual data (published in April 2024), all LMIAs in support of 'Permanent Residence (PR) Only' are included in TFWP statistics, unless indicated otherwise. All annual data in this report includes PR Only LMIAs. Dual-intent LMIAs and corresponding positions are included under their respective TFWP stream (e.g., low-wage, high-wage, etc.) This may impact program reporting over time.
",Total,"40,238","1,530","44,742","1,044","50,544",478.0,"46,750",223.0,"44,460",98.0,"45,069",66.0,"48,909",16.0,"55,552",10.0
89,"3. An economic region is defined by Statistics Canada as a grouping of complete Census Divisions (with one exception in Ontario) created as a standard geographic unit for analysis of regional economic activity. There are 76 economic regions across Canada. In Ontario, there is one exception where the employers boundary does not respect census division boundaries: The census division of Halton is split between the employers of HamiltonNiagara Peninsula and the employers of Toronto.",Total,"40,238","1,530","44,742","1,044","50,544",478.0,"46,750",223.0,"44,460",98.0,"45,069",66.0,"48,909",16.0,"55,552",10.0
90,"4. ""Unspecified"" indicates that the location of employment includes more than one distinct economic region within the same province.",Total,"40,238","1,530","44,742","1,044","50,544",478.0,"46,750",223.0,"44,460",98.0,"45,069",66.0,"48,909",16.0,"55,552",10.0
91,"5. The LMIA System tracks TFW positions only, not TFWs who are issued a work permit or who enter Canada. Not all positions approved result in a work permit or a TFW entering Canada. For information on the number of work permits issued, please consult Immigration Refugees and Citizenship Canada's (IRCC) Facts and Figures: http://www.cic.gc.ca/english/resources/statistics/menu-fact.asp ",Total,"40,238","1,530","44,742","1,044","50,544",478.0,"46,750",223.0,"44,460",98.0,"45,069",66.0,"48,909",16.0,"55,552",10.0
92,6. The numbers appearing in this release may differ slightly from those reported in previous releases of LMIA statistics due to data updates that occur over time.,Total,"40,238","1,530","44,742","1,044","50,544",478.0,"46,750",223.0,"44,460",98.0,"45,069",66.0,"48,909",16.0,"55,552",10.0
